Season,Week,Running_Order,Celebrity,Ballroom_Partner,Couple,Dance_Style,Weekly_Bottom_Two_Status
22,6,6,Ginger & Val,,Ginger & Val,Jazz,Safe
22,6,7,Doug & Karina,,Doug & Karina,Bollywood,Eliminated
22,6,8,Wanyá & Lindsay,,Wanyá & Lindsay,Jazz,Safe
22,6,9,Antonio & Sharna,,Antonio & Sharna,Jive,Safe
22,7,1,Jodie & Keo,,Jodie & Keo,Quickstep,Safe
22,7,2,Kim & Sasha,,Kim & Sasha,Samba,Eliminated
22,7,3,Nyle & Peta,,Nyle & Peta,Foxtrot,Safe
22,7,4,Antonio & Sharna,,Antonio & Sharna,Tango,Safe
22,7,5,Wanyá & Lindsay,,Wanyá & Lindsay,Foxtrot,Safe
22,7,6,Ginger & Val,,Ginger & Val,Viennese waltz,Safe
22,7,7,Von & Witney,,Von & Witney,Salsa,Eliminated
22,7,8,Paige & Mark,,Paige & Mark,Jive,Safe
22,7,9,Antonio & Sharna,Nyle & Peta,Antonio & Sharna / Nyle & Peta / Von & Witney / Wanyá & Lindsay,Freestyle (Team James Brown),Safe
22,7,10,Ginger & Val,Jodie & Keo,Ginger & Val / Jodie & Keo / Kim & Sasha / Paige & Mark,Freestyle (Team Beyoncé),Safe
22,8,1,Nyle & Peta,,Nyle & Peta,Paso doble,Safe
22,8,2,Antonio & Sharna,,Antonio & Sharna,""" Love on the Brain "" — Rihanna",Safe
22,8,3,Jodie & Keo,,Jodie & Keo,""" Something's Got a Hold on Me "" — Etta James",Safe
22,8,4,Paige & Mark,,Paige & Mark,""" Stone Cold "" — Demi Lovato",Safe
22,8,5,Ginger & Val,,Ginger & Val,""" Telephone "" — Martynas Levickis",Safe
22,8,6,Wanyá & Lindsay,,Wanyá & Lindsay,""" Can You Do This "" — Aloe Blacc",Safe
22,8,7,Jodie & Keo,Nyle & Peta,Jodie & Keo / Nyle & Peta,Argentine tango,Safe
22,8,8,Ginger & Val,Wanyá & Lindsay,Ginger & Val / Wanyá & Lindsay,Samba,Safe
22,8,9,Antonio & Sharna,Paige & Mark,Antonio & Sharna / Paige & Mark,Paso doble,Safe
22,9,1,Paige & Mark,,Paige & Mark,Samba,Safe
22,9,1,Paige & Mark,,Paige & Mark,,Safe
22,9,2,Antonio & Sharna,,Antonio & Sharna,Argentine tango,Eliminated
22,9,2,Antonio & Sharna,,Antonio & Sharna,,Eliminated
22,9,3,Wanyá & Lindsay,,Wanyá & Lindsay,Paso doble,Eliminated
22,9,3,Wanyá & Lindsay,,Wanyá & Lindsay,,Eliminated
22,9,4,Nyle & Peta,,Nyle & Peta,Jive,Safe
22,9,4,Nyle & Peta,,Nyle & Peta,,Safe
22,9,5,Ginger & Val,,Ginger & Val,Paso doble,Safe
22,9,5,Ginger & Val,,Ginger & Val,,Safe
22,10,1,Ginger & Val,,Ginger & Val,Contemporary,
22,10,1,Ginger & Val,,Ginger & Val,,
22,10,2,Nyle & Peta,,Nyle & Peta,Quickstep,
22,10,2,Nyle & Peta,,Nyle & Peta,,
22,10,3,Paige & Mark,,Paige & Mark,Salsa,
22,10,3,Paige & Mark,,Paige & Mark,,
22,10,1,Ginger & Val,,Ginger & Val,Argentine tango & Foxtrot,Third Place
22,10,2,Nyle & Peta,,Nyle & Peta,Cha-cha-cha & Tango,Winners
22,10,3,Paige & Mark,,Paige & Mark,Jive & Salsa,Runners-Up
23,1,1,Marilu & Derek,,Marilu & Derek,Jive,
23,1,2,James & Sharna,,James & Sharna,Foxtrot,
23,1,3,Calvin & Lindsay,,Calvin & Lindsay,Cha-cha-cha,
23,1,4,Maureen & Artem,,Maureen & Artem,Viennese waltz,
23,1,5,Babyface & Allison,,Babyface & Allison,Foxtrot,
23,1,6,Amber & Maks,,Amber & Maks,Foxtrot,
23,1,7,Vanilla Ice & Witney,,Vanilla Ice & Witney,Cha-cha-cha,
23,1,8,Jana & Gleb,,Jana & Gleb,Viennese waltz,
23,1,9,Jake & Jenna,,Jake & Jenna,Jive,
23,1,10,Rick & Emma,,Rick & Emma,Cha-cha-cha,
23,1,11,Terra & Sasha,,Terra & Sasha,Jive,
23,1,12,Ryan & Cheryl,,Ryan & Cheryl,Foxtrot,
23,1,13,Laurie & Val,,Laurie & Val,Cha-cha-cha,
23,2,1,Maureen & Artem,,Maureen & Artem,Quickstep,Safe
23,2,2,Jana & Gleb,,Jana & Gleb,Tango,Safe
23,2,3,Rick & Emma,,Rick & Emma,Quickstep,Safe
23,2,4,Calvin & Lindsay,,Calvin & Lindsay,Foxtrot,Safe
23,2,5,Amber & Maks,,Amber & Maks,Viennese waltz,Safe
23,2,6,Jake & Jenna,,Jake & Jenna,Cha-cha-cha,Eliminated
23,2,7,Vanilla Ice & Witney,,Vanilla Ice & Witney,Foxtrot,Safe
23,2,8,Terra & Sasha,,Terra & Sasha,Quickstep,Safe
23,2,9,Babyface & Allison,,Babyface & Allison,Argentine tango,Safe
23,2,10,Laurie & Val,,Laurie & Val,Jive,Safe
23,2,11,James & Sharna,,James & Sharna,Paso doble,Safe
23,2,12,Marilu & Derek,,Marilu & Derek,Foxtrot,Safe
23,2,13,Ryan & Cheryl,,Ryan & Cheryl,Quickstep,Safe
23,3,1,Babyface & Allison,,Babyface & Allison,Jive,Safe
23,3,2,Jana & Gleb,,Jana & Gleb,""" Too Many Fish in the Sea "" — Bette Midler",Safe
23,3,3,Rick & Emma,,Rick & Emma,Paso doble,Eliminated
23,3,4,Vanilla Ice & Witney,,Vanilla Ice & Witney,"""Save Tonight"" — Zayde Wølf",Eliminated
23,3,5,James & Sharna,,James & Sharna,Cha-cha-cha,Immunity
23,3,6,Ryan & Cheryl,,Ryan & Cheryl,""" If It Ain't Love "" — Jason Derulo",Immunity
23,3,7,Terra & Sasha,,Terra & Sasha,Viennese waltz,Safe
23,3,8,Calvin & Lindsay,,Calvin & Lindsay,""" Woman's World "" — BJ the Chicago Kid",Safe
23,3,9,Amber & Maks,,Amber & Maks,Salsa,Safe
23,3,10,Maureen & Artem,,Maureen & Artem,""" Tres Deseos "" — Gloria Estefan",Safe
23,3,11,Laurie & Val,,Laurie & Val,Tango,Immunity
23,3,12,Marilu & Derek,,Marilu & Derek,""" Battle Cry "" — Imagine Dragons",Immunity
23,4,1,Calvin & Lindsay,,Calvin & Lindsay,Charleston,Safe
