celebrity_name,wikipedia_title,instagram_handle,twitter_handle,tiktok_handle,youtube_url,instagram_followers,twitter_followers,tiktok_followers,youtube_subscribers,facebook_url
Elizabeth Berkley Lauren,Elizabeth Berkley,,,,,,,,,
Emmitt Smith,Emmitt Smith,,,,,,,,,
Eric Roberts,Eric Roberts,,,,,,,,,
Erika Jayne,Erika Jayne,,,,,,,,,
Erin Andrews,Erin Andrews,,,,,,,,,
Evan Lysacek,Evan Lysacek,,,,,,,,,
Evander Holyfield,Evander Holyfield,,,,,,,,,
Evanna Lynch,Evanna Lynch,,,,,,,,,
Florence Henderson,Florence Henderson,,,,,,,,,
Floyd Mayweather Jr.,Floyd Mayweather Jr.,,,,,,,,,
Frankie Muniz,Frankie Muniz,,,,,,,,,
Gabby Windey,Gabby Windey,,,gabbywindey,,,,1100000.0,,
Gary Busey,Gary Busey,,,,,,,,,
Gavin DeGraw,Gavin DeGraw,,,,,,,,,
George Hamilton,George Hamilton (actor),,,,,,,,,
Geraldo Rivera,Geraldo Rivera,,,,,,,,,
Gilles Marini,Gilles Marini,,,,,,,,,
Ginger Zee,Ginger Zee,,,,,,,,,
Giselle Fernandez,Giselle Fernández,,,,,,,,,
Gladys Knight,Gladys Knight,,,,,,,,,
Hannah Brown,Hannah Brown,,,,,,,,,
Harry Hamlin,Harry Hamlin,,,,,,,,,
Harry Jowsey,Harry Jowsey,,,harryjowsey,,,,5000000.0,,
Hayes Grier,Hayes Grier,,,,,,,,,
Heather Mills,Heather Mills,,,,,,,,,
Heather Morris,Heather Morris,,,,,,,,,
Heidi D'Amelio,Charli D'Amelio,charlidamelio,,charlidamelio,https://www.youtube.com/channel/UCi3OE-aN09WOcN9d2stCvPg,,,155900000.0,,
Helio Castroneves,Hélio Castroneves,,,,,,,,,
Hilaria Baldwin,Hilaria Baldwin,,,,,,,,,
Hines Ward,Hines Ward,,,,,,,,,
Holly Madison,Holly Madison,,,,,,,,,
Hope Solo,Hope Solo,,,,,,,,,
Ian Ziering,Ian Ziering,,,,,,,,,
Ilona Maher,Ilona Maher,,,,,,,,,
Iman Shumpert,Iman Shumpert,,,,,,,,,
Ingo Rademacher,Ingo Rademacher,,,,,,,,,
J.R. Martinez,J. R. Martinez,,,,,,,,,
Jack Osbourne,Jack Osbourne,,,,,,,,,
Jack Wagner,Jack Wagner (actor),,,,,,,,,
Jacoby Jones,Jacoby Jones,,,,,,,,,
Jake Pavelka,Jake Pavelka,,,,,,,,,
Jake T. Austin,Jake T. Austin,,,,,,,,,
Jaleel White,Jaleel White,,,,,,,,,
James Hinchcliffe,James Hinchcliffe,,,,,,,,,
James Maslow,James Maslow,,,,,,,,,
James Van Der Beek,James Van Der Beek,,,,,,,,,
Jamie Anderson,Jamie Anderson (snowboarder),,,,,,,,,
Jamie Lynn Spears,Jamie Lynn Spears,,,,,,,,,
Jana Kramer,Jana Kramer,,,,,,,,,
Jane Seymour,Jane Seymour,,,,,,,,,
Janel Parrish,Janel Parrish,,,,,,,,,
Jason Lewis,Jason Lewis (actor),,,,,,,,,
Jason Mraz,Jason Mraz,,,,,,,,,
Jason Taylor,Jason Taylor (American football),,,,,,,,,
Jeannie Mai,Jeannie Mai,,,,,,,,,
Jeffrey Ross,Jeff Ross,,,,,,,,,
Jen Affleck,The Secret Lives of Mormon Wives,,,,,,,,,
Jenn Tran,Jenn Tran,,,,,,,,,
Jennie Finch Daigle,Casey Daigle,,,,,,,,,
Jennie Garth,Jennie Garth,,,,,,,,,
Jennifer Grey,Jennifer Grey,,,,,,,,,
Jerry Rice,Jerry Rice,,,,,,,,,
Jerry Springer,Jerry Springer,,,,,,,,,
Jesse Metcalfe,Jesse Metcalfe,,,,,,,,,
Jessie James Decker,Jessie James Decker,,,,,,,,,
Jimmie Allen,Jimmie Allen,,,,,,,,,
JoJo Siwa,JoJo Siwa,,,,,,,,,
Joanna Krupa,Joanna Krupa,,,,,,,,,
Jodie Sweetin,Jodie Sweetin,,,,,,,,,
